name	year	inf
http://dbpedia.org/resource/Francis_Hutcheson_(philosopher)	1694	3
http://dbpedia.org/resource/David_Hartley_(philosopher)	1705	2
http://dbpedia.org/resource/Julien_Offray_de_La_Mettrie	1709	1
http://dbpedia.org/resource/Thomas_Reid	1710	9
http://dbpedia.org/resource/Jean-Jacques_Rousseau	1712	17
http://dbpedia.org/resource/Denis_Diderot	1713	2
http://dbpedia.org/resource/Emer_de_Vattel	1714	0
http://dbpedia.org/resource/Alexander_Gottlieb_Baumgarten	1714	1
http://dbpedia.org/resource/%C3%89tienne_Bonnot_de_Condillac	1714	2
http://dbpedia.org/resource/Étienne_Bonnot_de_Condillac	1714	1
http://dbpedia.org/resource/Claude_Adrien_Helvétius	1715	0
http://dbpedia.org/resource/Claude_Adrien_Helv%C3%A9tius	1715	0
http://dbpedia.org/resource/William_Cleghorn	1719	1
http://dbpedia.org/resource/Adam_Ferguson	1723	0
http://dbpedia.org/resource/Adam_Smith	1723	0
http://dbpedia.org/resource/Baron_d'Holbach	1723	3
http://dbpedia.org/resource/Immanuel_Kant	1724	1
http://dbpedia.org/resource/Moses_Mendelssohn	1729	0
http://dbpedia.org/resource/Edmund_Burke	1729	2
http://dbpedia.org/resource/Johann_Georg_Hamann	1730	5
http://dbpedia.org/resource/Hong_Dae-yong	1731	1
http://dbpedia.org/resource/Johannes_Nikolaus_Tetens	1736	1
http://dbpedia.org/resource/Park_Ji-won	1737	0
http://dbpedia.org/resource/Thomas_Paine	1737	2
http://dbpedia.org/resource/Marquis_de_Sade	1740	4
http://dbpedia.org/resource/Friedrich_Heinrich_Jacobi	1743	8
http://dbpedia.org/resource/Johann_Gottfried_Herder	1744	0
http://dbpedia.org/resource/Shah_Abdul_Aziz	1745	0
http://dbpedia.org/resource/Adam_Weishaupt	1748	1
http://dbpedia.org/resource/Jeremy_Bentham	1748	1
http://dbpedia.org/resource/Christian_Jakob_Kraus	1753	1
http://dbpedia.org/resource/Joseph_de_Maistre	1753	0
http://dbpedia.org/resource/Salomon_Maimon	1753	1
http://dbpedia.org/resource/Louis_Gabriel_Ambroise_de_Bonald	1754	1
http://dbpedia.org/resource/Karl_Leonhard_Reinhold	1757	2
http://dbpedia.org/resource/Claude_Henri_de_Rouvroy,_comte_de_Saint-Simon	1760	3
http://dbpedia.org/resource/Johann_Gottlieb_Fichte	1762	3
http://dbpedia.org/resource/Maine_de_Biran	1766	8
http://dbpedia.org/resource/Wilhelm_von_Humboldt	1767	4
http://dbpedia.org/resource/Friedrich_Schleiermacher	1768	4
http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel	1770	4
http://dbpedia.org/resource/Charles_Fourier	1772	7
http://dbpedia.org/resource/James_Mill	1773	1
http://dbpedia.org/resource/Friedrich_Wilhelm_Joseph_Schelling	1775	7
http://dbpedia.org/resource/Johann_Friedrich_Herbart	1776	5
http://dbpedia.org/resource/Bernard_Bolzano	1781	4
http://dbpedia.org/resource/Arthur_Schopenhauer	1788	0
http://dbpedia.org/resource/Sir_William_Hamilton,_9th_Baronet	1788	2
http://dbpedia.org/resource/John_Austin_(legal_philosopher)	1790	2
http://dbpedia.org/resource/Franz_Bopp	1791	3
http://dbpedia.org/resource/Immanuel_Hermann_Fichte	1796	0
http://dbpedia.org/resource/Auguste_Comte	1798	5
http://dbpedia.org/resource/Josiah_Warren	1798	1
http://dbpedia.org/resource/Giacomo_Leopardi	1798	4
http://dbpedia.org/resource/Friedrich_Adolf_Trendelenburg	1802	6
http://dbpedia.org/resource/Ralph_Waldo_Emerson	1803	4
http://dbpedia.org/resource/Ludwig_Feuerbach	1804	6
http://dbpedia.org/resource/Alexis_de_Tocqueville	1805	2
http://dbpedia.org/resource/Johann_Eduard_Erdmann	1805	4
http://dbpedia.org/resource/Giuseppe_Mazzini	1805	1
http://dbpedia.org/resource/Max_Stirner	1806	11
http://dbpedia.org/resource/John_Stuart_Mill	1806	14
http://dbpedia.org/resource/Johann_Gustav_Droysen	1808	1
http://dbpedia.org/resource/Victor_Prosper_Considerant	1808	1
http://dbpedia.org/resource/Bruno_Bauer	1809	5
http://dbpedia.org/resource/Louis_Blanc	1811	2
http://dbpedia.org/resource/Alexander_Herzen	1812	2
http://dbpedia.org/resource/Nikolai_Stankevich	1813	2
http://dbpedia.org/resource/Félix_Ravaisson-Mollien	1813	8
http://dbpedia.org/resource/Søren_Kierkegaard	1813	0
http://dbpedia.org/resource/S%C3%B8ren_Kierkegaard	1813	1
http://dbpedia.org/resource/F%C3%A9lix_Ravaisson-Mollien	1813	8
http://dbpedia.org/resource/Mikhail_Bakunin	1814	2
http://dbpedia.org/resource/Jules_Lequier	1814	2
http://dbpedia.org/resource/Charles_Bernard_Renouvier	1815	1
http://dbpedia.org/resource/Hermann_Lotze	1817	7
http://dbpedia.org/resource/Henry_David_Thoreau	1817	2
http://dbpedia.org/resource/Karl_Marx	1818	0
http://dbpedia.org/resource/Herbert_Spencer	1820	2
http://dbpedia.org/resource/Friedrich_Engels	1820	0
http://dbpedia.org/resource/August_Schleicher	1821	1
http://dbpedia.org/resource/Kuno_Fischer	1824	1
http://dbpedia.org/resource/Joseph_Dietzgen	1828	1
http://dbpedia.org/resource/Friedrich_Albert_Lange	1828	1
http://dbpedia.org/resource/Christoph_von_Sigwart	1830	3
http://dbpedia.org/resource/Michel_Br%C3%A9al	1832	1
http://dbpedia.org/resource/Michel_Bréal	1832	1
http://dbpedia.org/resource/Wilhelm_Dilthey	1833	7
http://dbpedia.org/resource/Thomas_Hill_Green	1836	2
http://dbpedia.org/resource/African_Spir	1837	4
http://dbpedia.org/resource/Franz_Brentano	1838	5
http://dbpedia.org/resource/Henry_Sidgwick	1838	4
http://dbpedia.org/resource/August_Leskien	1840	0
http://dbpedia.org/resource/George_Sylvester_Morris	1840	1
http://dbpedia.org/resource/Peter_Kropotkin	1842	0
http://dbpedia.org/resource/William_James	1842	10
http://dbpedia.org/resource/Karl_Robert_Eduard_von_Hartmann	1842	3
http://dbpedia.org/resource/Antonio_Labriola	1843	2
http://dbpedia.org/resource/Richard_Avenarius	1843	1
http://dbpedia.org/resource/Friedrich_Nietzsche	1844	1
http://dbpedia.org/resource/%C3%89mile_Boutroux	1845	1
http://dbpedia.org/resource/Émile_Boutroux	1845	1
http://dbpedia.org/resource/Rudolf_Christoph_Eucken	1846	0
http://dbpedia.org/resource/Svetozar_Markovi%C4%87	1846	1
http://dbpedia.org/resource/F._H._Bradley	1846	0
http://dbpedia.org/resource/Georges_Sorel	1847	1
http://dbpedia.org/resource/Gottlob_Frege	1848	5
http://dbpedia.org/resource/Carl_Stumpf	1848	1
http://dbpedia.org/resource/Wilhelm_Windelband	1848	0
http://dbpedia.org/resource/Hans_Vaihinger	1852	1
http://dbpedia.org/resource/Alexius_Meinong	1853	5
http://dbpedia.org/resource/Vladimir_Solovyov_(philosopher)	1853	2
http://dbpedia.org/resource/Karl_Kautsky	1854	1
http://dbpedia.org/resource/Hidden@39565388	1854	1
http://dbpedia.org/resource/Josiah_Royce	1855	4
http://dbpedia.org/resource/Ferdinand_de_Saussure	1857	14
http://dbpedia.org/resource/Shibli_Nomani	1857	2
http://dbpedia.org/resource/Georg_Simmel	1858	0
http://dbpedia.org/resource/Henri_Bergson	1859	1
http://dbpedia.org/resource/Edmund_Husserl	1859	20
http://dbpedia.org/resource/John_Dewey	1859	0
http://dbpedia.org/resource/Samuel_Alexander	1859	2
http://dbpedia.org/resource/Émile_Meyerson	1859	2
http://dbpedia.org/resource/%C3%89mile_Meyerson	1859	2
http://dbpedia.org/resource/Christian_von_Ehrenfels	1859	0
http://dbpedia.org/resource/Maurice_Blondel	1861	0
http://dbpedia.org/resource/Pierre_Duhem	1861	1
http://dbpedia.org/resource/Rudolf_Steiner	1861	2
http://dbpedia.org/resource/Han_Ryner	1861	1
http://dbpedia.org/resource/Alfred_North_Whitehead	1861	15
http://dbpedia.org/resource/Tajuddin_Muhammad_Badruddin	1861	1
http://dbpedia.org/resource/Georges_Palante	1862	3
http://dbpedia.org/resource/George_Herbert_Mead	1863	4
http://dbpedia.org/resource/George_Santayana	1863	0
http://dbpedia.org/resource/Heinrich_Rickert	1863	3
http://dbpedia.org/resource/Charles_Cooley	1864	2
http://dbpedia.org/resource/F._C._S._Schiller	1864	1
http://dbpedia.org/resource/Hidden@826377	1864	1
http://dbpedia.org/resource/Abdulhakim_Arvasi	1865	2
http://dbpedia.org/resource/Arthur_Drews	1865	0
http://dbpedia.org/resource/J._M._E._McTaggart	1866	2
http://dbpedia.org/resource/Augustyn_Wróblewski	1866	1
http://dbpedia.org/resource/Benedetto_Croce	1866	4
http://dbpedia.org/resource/Augustyn_Wr%C3%B3blewski	1866	1
http://dbpedia.org/resource/Émile_Chartier	1868	3
http://dbpedia.org/resource/%C3%89mile_Chartier	1868	3
http://dbpedia.org/resource/Charles_Maurras	1868	0
http://dbpedia.org/resource/Edward_Abramowski	1868	2
http://dbpedia.org/resource/Léon_Brunschvicg	1869	4
http://dbpedia.org/resource/Emma_Goldman	1869	0
http://dbpedia.org/resource/L%C3%A9on_Brunschvicg	1869	5
http://dbpedia.org/resource/Nikolay_Lossky	1870	1
http://dbpedia.org/resource/Upasni_Maharaj	1870	1
http://dbpedia.org/resource/Harold_Arthur_Prichard	1871	3
http://dbpedia.org/resource/Émile_Armand	1872	0
http://dbpedia.org/resource/%C3%89mile_Armand	1872	1
http://dbpedia.org/resource/Bertrand_Russell	1872	1
http://dbpedia.org/resource/Max_Adler_(Marxist)	1873	0
http://dbpedia.org/resource/G._E._Moore	1873	1
http://dbpedia.org/resource/Max_Scheler	1874	1
http://dbpedia.org/resource/Ernst_Cassirer	1874	2
http://dbpedia.org/resource/Nikolai_Berdyaev	1874	2
http://dbpedia.org/resource/Emil_Lask	1875	1
http://dbpedia.org/resource/Giovanni_Gentile	1875	1
http://dbpedia.org/resource/W._D._Ross	1877	1
http://dbpedia.org/resource/Muhammad_Iqbal	1877	0
http://dbpedia.org/resource/Maurice_Halbwachs	1877	2
http://dbpedia.org/resource/Martin_Buber	1878	3
http://dbpedia.org/resource/Joseph_Mar%C3%A9chal	1878	1
http://dbpedia.org/resource/Othmar_Spann	1878	1
http://dbpedia.org/resource/Joseph_Maréchal	1878	1
http://dbpedia.org/resource/Oswald_Spengler	1880	0
http://dbpedia.org/resource/Morris_Raphael_Cohen	1880	2
http://dbpedia.org/resource/Hans_Kelsen	1881	1
http://dbpedia.org/resource/Curt_John_Ducasse	1881	2
http://dbpedia.org/resource/Jacques_Maritain	1882	2
http://dbpedia.org/resource/Nicolai_Hartmann	1882	1
http://dbpedia.org/resource/Louis_Lavelle	1883	0
http://dbpedia.org/resource/Clarence_Irving_Lewis	1883	3
http://dbpedia.org/resource/José_Ortega_y_Gasset	1883	5
http://dbpedia.org/resource/Karl_Jaspers	1883	4
http://dbpedia.org/resource/Jos%C3%A9_Ortega_y_Gasset	1883	5
http://dbpedia.org/resource/Gaston_Bachelard	1884	8
http://dbpedia.org/resource/%C3%89tienne_Gilson	1884	4
http://dbpedia.org/resource/Étienne_Gilson	1884	4
http://dbpedia.org/resource/Zechariah_Chafee	1885	0
http://dbpedia.org/resource/Gy%C3%B6rgy_Luk%C3%A1cs	1885	5
http://dbpedia.org/resource/Eugène_Minkowski	1885	1
http://dbpedia.org/resource/Eug%C3%A8ne_Minkowski	1885	1
http://dbpedia.org/resource/Hidden@40169969	1885	5
http://dbpedia.org/resource/Franz_Rosenzweig	1886	1
http://dbpedia.org/resource/Karl_Korsch	1886	1
http://dbpedia.org/resource/Kurt_Koffka	1886	1
http://dbpedia.org/resource/C._D._Broad	1887	1
http://dbpedia.org/resource/Carl_Schmitt	1888	0
http://dbpedia.org/resource/Xavier_Zubiri	1889	3
http://dbpedia.org/resource/Martin_Heidegger	1889	1
http://dbpedia.org/resource/Ludwig_Wittgenstein	1889	16
http://dbpedia.org/resource/Gabriel_Marcel	1889	0
http://dbpedia.org/resource/Renzo_Novatore	1890	0
http://dbpedia.org/resource/Jan_Muka?ovský	1891	0
http://dbpedia.org/resource/Rudolf_Carnap	1891	3
http://dbpedia.org/resource/Antonio_Gramsci	1891	0
http://dbpedia.org/resource/Jan_Muka%C5%99ovsk%C3%BD	1891	0
http://dbpedia.org/resource/Walter_Benjamin	1892	1
http://dbpedia.org/resource/Brand_Blanshard	1892	0
http://dbpedia.org/resource/Alexandre_Koyré	1892	4
http://dbpedia.org/resource/Muhammad_Husayn_Tabataba'i	1892	3
http://dbpedia.org/resource/Alexandre_Koyr%C3%A9	1892	5
http://dbpedia.org/resource/Edwin_Arthur_Burtt	1892	2
http://dbpedia.org/resource/John_Anderson_(philosopher)	1893	5
http://dbpedia.org/resource/Roman_Ingarden	1893	1
http://dbpedia.org/resource/José_Carlos_Mariátegui	1894	0
http://dbpedia.org/resource/Jos%C3%A9_Carlos_Mari%C3%A1tegui	1894	0
http://dbpedia.org/resource/Meher_Baba	1894	0
http://dbpedia.org/resource/Susanne_Langer	1895	0
http://dbpedia.org/resource/Mikhail_Bakhtin	1895	1
http://dbpedia.org/resource/Fernando_Gonz%C3%A1lez_(writer)	1895	2
http://dbpedia.org/resource/Louis_Arnaud_Reid	1895	1
http://dbpedia.org/resource/Max_Horkheimer	1895	5
http://dbpedia.org/resource/Roman_Jakobson	1896	8
http://dbpedia.org/resource/Georges_Bataille	1897	1
http://dbpedia.org/resource/Norbert_Elias	1897	1
http://dbpedia.org/resource/Charles_Hartshorne	1897	2
http://dbpedia.org/resource/Hidden@39385650	1898	6
http://dbpedia.org/resource/Julius_Evola	1898	2
http://dbpedia.org/resource/Herbert_Marcuse	1898	5
http://dbpedia.org/resource/Georges_Dumézil	1898	2
http://dbpedia.org/resource/Georges_Dum%C3%A9zil	1898	2
http://dbpedia.org/resource/Qalandar_Baba_Auliya	1898	0
http://dbpedia.org/resource/Leo_Strauss	1899	0
http://dbpedia.org/resource/H._H._Price	1899	0
http://dbpedia.org/resource/Erich_Fromm	1900	0
http://dbpedia.org/resource/Gilbert_Ryle	1900	7
http://dbpedia.org/resource/Herbert_Blumer	1900	0
http://dbpedia.org/resource/Hans-Georg_Gadamer	1900	1
http://dbpedia.org/resource/Muhammad_Asad	1900	1
http://dbpedia.org/resource/Richard_McKeon	1900	4
http://dbpedia.org/resource/Henri_Lefebvre	1901	1
http://dbpedia.org/resource/Ernest_Nagel	1901	2
http://dbpedia.org/resource/Eric_Voegelin	1901	0
http://dbpedia.org/resource/Jacques_Lacan	1901	5
http://dbpedia.org/resource/Alexandre_Kojève	1902	0
http://dbpedia.org/resource/Sidney_Hook	1902	2
http://dbpedia.org/resource/Alexandre_Koj%C3%A8ve	1902	0
http://dbpedia.org/resource/Karl_Popper	1902	0
http://dbpedia.org/resource/Mortimer_J._Adler	1902	0
http://dbpedia.org/resource/Lon_L._Fuller	1902	1
http://dbpedia.org/resource/Frank_P._Ramsey	1903	1
http://dbpedia.org/resource/Jean_Cavaillès	1903	1
http://dbpedia.org/resource/Jean_Cavaill%C3%A8s	1903	1
http://dbpedia.org/resource/Theodor_W._Adorno	1903	1
http://dbpedia.org/resource/Hans_Jonas	1903	6
http://dbpedia.org/resource/Henry_Corbin	1903	0
